score,nom,echec
0,ouais,8
16,ptetjehein,6
0,chouette,8
0,suis,8
0,ravi,8
18,alorspeutetre,5
0,oenn,8
0,jps,8
0,jsp,8
0,eloic,8
6,eloic,6
0,lp,8
16,eloic$,6
0,efz,8
0,fezz,8
0,bhk,8
0,zfefez,8
0,efzj,8
16,eloic,6
0,fezb,8
0,heho,8
0,eloic,8
0,eloic,8
0,eloic,8
0,eloic,8
0,eloic,8
0,eloic,8
0,eloic,8
0,stevann,8
0,azertyuiop,8
0,qsdfgklm,8
0,wxcvbn,8
0,mploki,8
0,csdjks,8
0,sznjkf,8
0,dzbl,8
0,fbhe,8
0,bsg,8
0,aper,8
0,aper,8
0,aper,8
7,eloic,7
0,fezC,8
0,alllllezzzz,8
0,fgkkm,8
0,mobidus,8
0,eloic,8
0,eloic,8
0,eloic,8
0,eloic,8
0,eloic,8
0,apersis,8
0,a,8
0,aper,8
0,m,8
0,eloic,8
5,apersis,7
0,apersis,8
0,apersis,8
20,apersis,4
6,apersis,7
5,apersis,7
15,apersis,7
20,apersis,6
12,thecheater,7
0,apersis,8
0,agathe,8
24,agathe,4
0,agathe,8
48,agathe,4
14,agathe,6
8,agathe,6
0,agathe,8
50,agathe,3
0,moi,8
0,moi,8
0,moi,8
18,toi,6
0,dzb,8
0,fbz,8
18,moi,5
0,moi,8
14,moi,7
20,moi,6
0,moi,8
0,moi,8
0,moi,8
27,michel,5
0,micel,8
0,moi,8
0,Ã¹,8
0,moi,8
0,p,8
9,toi,7
48,jack,2
24,patrick,5
0,pierre,8
0,pierre,8
16,apersis,6
0,apersis,8
20,michel,6
18,jack,5
0,npssssd,8
0,a,8
0,eloic,8
0,eloic,8
0,a,8
0,a,8
0,a,8
0,fe,8
0,a,8
0,a,8
0,eloic,8
18,eloiv,7
8,eloic,7
5,eloic,7
0,a,8
0,eloic,8
0,a,8
0,a,8
40,charles,4
20,jean,6
16,timothe,4
70,berenice,1
60,leana,2
60,lucy,2
0,nul,8
0,coucou,8
0,agathe,8
36,eloic,6
